City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Providencia,100,CO,1573953069,98,1.24,-77.6,283.71,1.57
Yerbogachen,0,RU,1573953074,96,61.28,108.01,239.88,2.5
Pak Chong,18,TH,1573953079,67,14.71,101.42,296.48,0.51
Coahuayana,94,MX,1573953085,74,18.62,-100.35,297.31,0.28
Camopi,100,GF,1573953090,68,3.17,-52.33,299.41,2.94
Marataizes,71,BR,1573953095,82,-21.04,-40.82,293.52,0.41
Puerto Madero,45,AR,1573953100,88,-34.61,-58.36,295.93,1.5
Tamahu,65,GT,1573953105,96,15.33,-90.17,289.6,1.34
Denizli,0,TR,1573953017,81,37.77,29.09,281.15,2.6
Vyartsilya,88,RU,1573953116,94,62.18,30.69,271.8,2.4
Hobyo,5,SO,1573953121,80,5.35,48.53,298.9,6.97
Santa Ana,20,MX,1573953126,32,30.54,-111.12,297.47,3.44
Sambava,36,MG,1573953136,97,-14.27,50.17,295.27,0.58
Atherton,40,AU,1573953142,55,-17.27,145.48,304.82,4.1
Nanortalik,100,GL,1573953147,87,60.14,-45.24,272.96,15.11
Faya,63,SA,1573953152,87,18.39,42.45,284.15,1.27
Taoudenni,98,ML,1573953162,27,22.68,-3.98,290.94,3.54
Nizhniy Kuranakh,100,RU,1573953167,97,58.84,125.49,249.45,2.89
Carnarvon,0,ZA,1573953089,69,-30.97,22.13,288.71,5.85
Sanming,0,CN,1573953178,55,26.24,117.6,289.35,0.79
Payo,41,ID,1573953183,71,-3.75,103.64,295.14,0.8
Kailua,1,US,1573953143,74,21.39,-157.74,303.15,3.6
Wasilla,90,US,1573953198,92,61.58,-149.44,274.26,0.73
Lincoln,75,GB,1573952922,100,53.23,-0.54,281.15,1.5
Marawi,32,PH,1573953209,79,8.0,124.29,296.32,0.45
Careiro da Varzea,20,BR,1573953214,100,-3.2,-59.81,299.15,0.85
Sioux Lookout,90,CA,1573952939,60,50.1,-91.92,277.15,5.1
Olga,1,US,1573953224,64,34.11,-118.17,299.82,2.1
Diapaga,73,BF,1573953229,20,12.07,1.79,302.92,1.98
Tala,75,MX,1573953235,72,20.65,-103.7,290.15,2.1
Dunedin,50,NZ,1573953240,70,-45.87,170.5,285.52,5.56
Ulaangom,63,MN,1573953245,74,49.98,92.07,254.99,3.96
Xifeng,100,CN,1573953250,52,42.73,124.72,271.64,2.51
Cururupu,59,BR,1573953255,88,-1.82,-44.87,296.83,1.26
Puerto Escondido,75,MX,1573953260,74,15.86,-97.07,301.15,0.1
Dongsheng,87,CN,1573953271,70,29.72,112.52,291.69,3.93
Dzhebariki-Khaya,100,RU,1573953276,97,62.22,135.8,245.08,1.65
Amapa,75,HN,1573953281,88,15.09,-87.97,297.15,1.09
Saint-Pierre,75,FR,1573953286,100,48.95,4.24,275.93,4.1
Vestmannaeyjar,100,IS,1573953291,59,63.44,-20.27,278.15,9.2
Burnie,28,AU,1573953278,49,-41.05,145.91,287.04,5.81
Katobu,0,ID,1573953302,55,-4.94,122.53,303.58,2.28
Muros,90,ES,1573953307,93,42.77,-9.06,285.37,3.1
Gravelbourg,100,CA,1573953314,87,49.88,-106.56,274.41,5.18
Moose Factory,90,CA,1573953319,62,51.26,-80.61,267.15,5.7
Innisfail,64,AU,1573953324,34,-17.52,146.03,303.71,1.34
Lagunas,88,PE,1573953329,92,-5.23,-75.68,296.93,0.17
Midland,1,US,1573953300,54,32.0,-102.08,287.15,4.1
Namatanai,100,PG,1573953339,70,-3.66,152.44,301.5,1.6
Coronado,40,PA,1573953345,94,8.53,-79.9,300.37,2.63
Soyo,100,AO,1573953350,86,-6.13,12.37,298.79,0.65
Gamba,0,CN,1573953360,64,28.28,88.52,268.41,0.11
Kamenka,83,MD,1573953365,89,48.03,28.7,285.37,0.89
Hamilton,20,CA,1573953371,68,43.26,-79.87,272.59,8.7
Cornwall,1,CA,1573953270,71,45.02,-74.73,262.59,0.77
Wexford,1,US,1573953381,45,40.63,-80.06,275.15,4.6
Acajutla,65,SV,1573953192,65,13.59,-89.83,302.19,1.87
North Bend,75,US,1573953391,93,43.41,-124.22,288.15,1.5
Marsaxlokk,0,MT,1573953402,68,35.84,14.54,294.15,7.7
Zinder,0,NE,1573953407,19,13.81,8.99,299.83,3.28
Dabwali,0,IN,1573953412,66,29.95,74.74,290.86,2.71
Sirjan,79,IR,1573953417,60,29.44,55.67,280.25,3.55
Aswan,0,EG,1573953422,46,24.09,32.9,289.94,5.47
Tamale,70,GH,1573953428,40,9.4,-0.84,302.48,2.07
Katsuura,75,JP,1573953276,67,33.93,134.5,289.15,2.6
Wanning,75,AT,1573953438,100,48.64,13.53,279.26,0.5
Basco,1,US,1573953443,85,40.33,-91.2,276.15,4.1
Port Lincoln,83,AU,1573953448,57,-34.72,135.86,288.3,4.27
Arlit,25,NE,1573953454,14,18.74,7.39,298.67,1.26
Vila Franca do Campo,40,PT,1573953403,76,37.72,-25.43,286.15,3.6
Roebourne,0,AU,1573953464,5,-20.77,117.15,310.54,8.31
Nyimba,100,ZM,1573953469,92,-14.56,30.81,293.27,2.82
Bulawayo,100,ZW,1573953474,55,-20.16,28.59,294.33,4.98
Shestakovo,43,RU,1573953480,98,56.49,103.96,248.27,1.42
Bilibino,70,RU,1573953485,53,68.06,166.44,255.15,1.2
Batie,90,FR,1573953490,100,45.06,5.82,275.93,1.0
Vagay,95,RU,1573953495,97,57.94,69.02,269.0,2.84
Brae,93,GB,1573953500,86,60.4,-1.35,277.15,3.6
Tabou,98,CI,1573953505,92,4.42,-7.36,297.83,0.4
Dakar,100,SN,1573953086,83,14.69,-17.45,298.15,3.1
Gilbues,85,BR,1573953521,77,-9.83,-45.34,298.37,1.12
Niquero,65,CU,1573953526,87,20.04,-77.58,297.61,1.61
Lircay,98,PE,1573953531,75,-12.99,-74.72,282.44,2.04
Tiznit,0,MA,1573953536,34,29.7,-9.73,284.75,4.93
Aykhal,90,RU,1573953542,83,65.95,111.51,251.15,1.0
Punta Cardon,64,VE,1573953547,76,11.61,-70.22,300.69,5.73
Rundu,48,NA,1573953557,41,-17.91,19.77,299.15,1.5
Harper,1,US,1573953278,61,30.3,-99.24,286.48,3.6
Pandharpur,1,IN,1573953567,76,17.68,75.33,295.16,2.58
Pilar,33,AR,1573953573,88,-34.46,-58.91,295.93,1.5
Loukhi,98,RU,1573953578,96,66.08,33.04,267.78,1.4
Port Hedland,0,AU,1573953583,70,-20.31,118.58,305.15,6.2
Rabaul,99,PG,1573953588,73,-4.2,152.17,301.87,3.63
Westport,1,US,1573953593,24,41.14,-73.36,275.37,5.7
Sullana,74,PE,1573953598,68,-4.89,-80.69,295.78,5.76
Sorland,75,NO,1573953604,76,67.67,12.69,277.75,2.48
Colac,90,AU,1573953609,77,-38.34,143.59,289.26,1.34
Broome,95,GB,1573953616,81,52.47,1.45,279.26,2.6
Rome,75,IT,1573953435,68,41.89,12.48,293.15,10.8
Pyrzyce,68,PL,1573953627,100,53.15,14.89,277.04,3.1
Hay River,75,CA,1573953632,84,60.82,-115.79,258.15,1.0
Santa Rosa,0,AR,1573953637,47,-36.62,-64.29,292.39,0.93
Nabire,43,ID,1573953642,64,-3.36,135.5,303.18,0.19
Havoysund,1,NO,1573953648,68,71.0,24.66,272.15,11.8
Rassvet,0,RU,1573953653,93,49.11,45.47,273.35,4.47
Santiago del Estero,0,AR,1573953663,32,-27.8,-64.26,303.05,4.8
College,90,US,1573953668,77,64.86,-147.8,260.15,1.5
Villa Bruzual,13,VE,1573953679,80,9.33,-69.12,297.79,1.17
Victor Harbor,20,AU,1573953684,45,-35.55,138.62,291.15,6.2
Shingu,40,JP,1573953689,67,33.72,135.99,290.15,2.6
Murray Bridge,53,AU,1573953694,51,-35.12,139.28,290.93,0.89
Wick,90,GB,1573953699,70,51.45,-2.43,279.82,1.5
Olinda,90,AU,1573953590,58,-37.84,145.39,289.26,7.7
Nalut,0,LY,1573953710,46,31.86,10.98,286.85,3.59
Iwanai,100,JP,1573953715,82,42.97,140.51,269.79,8.29
Lima,90,PE,1573953234,82,-12.06,-77.04,292.15,6.2
Dutlwe,0,BW,1573953725,17,-23.98,23.93,298.26,3.86
Rongcheng,100,CN,1573953730,95,37.16,122.42,287.2,7.93
Bafoulabe,85,ML,1573953736,23,13.81,-10.83,301.2,1.92
Chapais,40,CA,1573953741,77,49.78,-74.86,256.15,1.0
Caravelas,100,BR,1573953746,86,-17.73,-39.27,296.34,2.65
Kashan,100,IR,1573953751,89,33.99,51.44,276.19,1.67
Bereda,75,ES,1573953756,93,43.27,-7.54,284.26,6.7
Kingaroy,0,AU,1573953761,27,-26.54,151.84,307.59,8.7
Ostersund,100,SE,1573953602,100,63.18,14.64,271.15,2.1
Sala Consilina,0,IT,1573953772,76,40.4,15.6,282.85,5.73
Santa Isabel do Rio Negro,92,BR,1573953777,96,-0.41,-65.02,297.44,0.77
La Orilla,69,MX,1573953782,82,18.0,-102.23,299.02,1.48
Taitung,13,TW,1573953787,42,22.76,121.15,300.15,2.6
Reconquista,0,AR,1573953793,67,-29.14,-59.64,294.71,3.64
Keelung,0,TW,1573953798,57,25.13,121.74,299.26,1.0
Nantucket,1,US,1573953507,47,41.28,-70.1,276.48,3.1
Beira,90,ES,1573953808,93,43.2,-8.36,285.93,6.2
Maralal,84,KE,1573953813,79,1.1,36.7,290.43,4.84
Otofuke,40,JP,1573953818,40,43.02,143.2,274.15,9.3
Pitsunda,0,GE,1573953824,75,43.16,40.34,281.48,5.0
Ketchikan,90,US,1573953829,100,55.34,-131.65,284.15,11.8
Samarai,100,PG,1573953834,89,-10.62,150.67,299.21,3.08
Saravan,0,AM,1573953844,79,39.72,45.65,270.15,3.1
Rosarito,75,CO,1573953849,100,4.91,-75.23,296.15,1.0
Talcahuano,1,CL,1573953855,82,-36.72,-73.12,288.15,2.1
Xining,98,CN,1573953860,47,36.62,101.77,268.49,3.28
Tezu,0,IN,1573953865,67,27.93,96.16,290.59,1.05
Carballo,90,ES,1573953870,93,43.21,-8.69,285.93,6.2
Igarka,0,RU,1573953875,83,67.47,86.57,245.2,4.1
Aklavik,20,CA,1573953886,75,68.22,-135.01,247.15,1.0
Pyapon,0,MM,1573953891,86,16.29,95.68,296.52,1.52
Zhigansk,100,RU,1573953896,99,66.77,123.37,251.12,3.06
Chippewa Falls,20,US,1573953901,51,44.94,-91.39,277.15,4.6
Hauterive,1,CA,1573953906,67,49.18,-68.27,268.15,6.2
Luangwa,100,MZ,1573953911,79,-15.62,30.4,296.49,1.18
Porangatu,71,BR,1573953917,57,-13.44,-49.14,299.35,1.26
